Address,Amount Deposited
0x00A5af2D7DA07dF76073A6f478f0fB4942D2659a,82023
0x0aCE224c4E8cBAbD25f3E158E95229197E2D6BB0,27638
0xE35E97438Fd16593e285546260C8585dea7909Dd,27287.4
0x5472895f8de2424AAE41CfEBA18D39145Fa8E685,24964.5
0xEd721300110c02e7437594f52f8127DaE261ff93,20813.4
0x5314951649f0484884a067034FA57E492D908D42,15925.9
0x9f82226AAe1f6900047DA20c30dc836587157E03,12085.5
0x84c33Ce1E7802694cDAF3730CCB13475DE196d5F,9991.37
0x0D35324061F620f66AF983Dee02076B2E45E57fc,8199.26
0xB85ae9ef84542BBdead9D4cA9ee8d237b214d13a,7179.68
0xBcaA871742Cc603C297e956DF8d6A398ef975551,6979.43
0x4a91BB962c337Eb2eee20D7D4bf6dCb8f808F31a,5631.68
0x738173e1cDf4A4c785dc63C6987a1Fd3bBfB3Aff,5304.27
0x7E697B424b0Cc808FEaa6Fd35C5300E83A5B44d3,5204.57
0x0B016af8e9b2823b93Fd999454B89cEaA56292AC,3999.84
0x8dA35B920fE236a757a0FAD93D3a3ab8eA0a24cC,3073.27
0xF779f672517428227EF74c6aB1aAE602E6E15E81,3019.21
0x4fD95c6FA765e64eC9313E465F4D2B88Cbf8dEaa,2704.88
0x56D53D3cdEB640398755a4AeEd067c315692FD50,2066.08
0x66dF548F39022Ff4b55a96fbd1B14d9aa66122B1,2034.74
0xBa7eFD84472246cB0d551B377025518c4A98e4fc,1997.47
0x9F40632B505dC2c2AEbD61111350A6F3FDcdc901,1993.08
0x8fB07b21383d331F3752A7590b0cfEAc85514A1F,1847.03
0xE971f568C6CfB436c88EA943E5DDe716D89a3b21,1377.07
0xf458DBFFDB3C49fD7805ab7d9071287a1C673734,1331.55
0xe7e199A59Ec9C991DfCb74a0110Cb244E57b216a,1152.61
0xf6842e34A04a42f48251e143AF75ed475451B287,1030.98
0xDB4207f20ab4E765Dbc68a0A5b45aA50dAf82f6B,1018.28
0xdA6473ee2dCE03D2A8a77D33B3a557Df3f31C228,1011.27
0x690aA9Ef448de780f5e383f63808C7F0237D88d2,1009.59
0xD78fb850E668199F351D3C1ADd1BC1623B7373eB,1002.5
0x3657e25d3167b8a5De24640ffF19Fde843324e53,996.9784
0x5863d07730d1A5522d19108D9010ecF46f8CD6FC,996.173
0x271bc1d79A6cA300de99E634E0a0508fa1b0DdF9,681.2347
0x7393027CEeAFd38002260f46c57262fdB71d2887,624.3947
0x5dF75F91Be011b6589c14c50c83Cbda9BA2c6AE0,600.7041
0x64977Acf5DeC2754D59f7fa7AE96cE564d969B85,596.8892
