Address,Amount Deposited
0x956a64f1028DE63B3984637dDD10aE96662B3aCd,59410.1
0xE971f568C6CfB436c88EA943E5DDe716D89a3b21,3899.13
0x4a91BB962c337Eb2eee20D7D4bf6dCb8f808F31a,3552.37
0x42F21354603C7f4065C40C80c88fA8d0Db4d4EA9,1387.13
0x7b4EB049e72bcdfD68ef3605fC3e397D372dF441,993.5943
0xe7Eb0E34E95700A0f9286A0065Fb19B1E33eEE54,987.3205
0x8dA35B920fE236a757a0FAD93D3a3ab8eA0a24cC,495.1996
0xE35E97438Fd16593e285546260C8585dea7909Dd,491.3991
0xeED14C41a026d25aF8E6DD8F86937bc7DfAdBF57,395.7094
0xDECacd60D1b68281AdC7d1E1F282ab2DF72125F0,295.9515
0x078D3251ABEEa84f4c814b1bA32e2C4aDe6D6BB1,236.9612
0xb79BfD2d91c2aa95Ba163a92A80FD522Fcc8EDcd,207.5257
0x0529Df0c2116ABa70F3681CC76902b31744e7Ce4,201.7388
0x9F40632B505dC2c2AEbD61111350A6F3FDcdc901,197.2661
0x942648F7098E2b18D3027330fc8E38F325D5EAeA,186.3176
0x35d6dc9432f4CEBEF16ACdeca047B9AB3d293DA4,156.4886
0x2d573d1f2578dB030ff77647cFe8FAAfcD04A35e,153.8673
0x9f82226AAe1f6900047DA20c30dc836587157E03,152.2304
0x3997928d1edBE10E67f9027b5ED370e8094258E7,151.3768
0x336aaE2D2BC8A94F64243E057FD217FcBa13a2a6,116.2586
0x535D6210Dcd218667777209B10932A24779C5463,111.948
0x2a7b1614B56D08Bb8E4682a630Ab7d98499E18b0,110.857
0xC70bfF7E17C688300a4c5fD5eaa7eeB9212a23E8,105.8371
0x38c3bE8c5b4779B27184a4E625fdFF95992bC971,98.71703
0xb179183F15cB62057a01ECa30053aa5d08F89a4E,97.84969
0x6A81CdB3ad5eCDaC0ee0e779cBF3A53294dd19eB,97.28729
0x7e68E3DD05f46a2BC783C362bC73576586fCC90D,87.26816
0x271bc1d79A6cA300de99E634E0a0508fa1b0DdF9,56.47532
0xfb309DDB92A0e00762927c287A6609244716B701,49.58313
0xF18dC3Ea1991ABdc405A778D0cB2f86Ae800495a,39.81085
0x2438510636Fb9D75146D6b12211803De2D66142F,33.18582
0xa3f4BaD54899078874Ba100a8752668EC1E294C9,29.75297
0xE9D9272F95d8b8237AC7fd13aA5b17DE3125B27E,29.74682
0x82a22c5648D6F7A5871eCd433fF72d7A81026f44,28.74024
0x8a58EDB033D835595Dc9250555ADF7db5EdA8e54,27.87959
0xA6a60FEd675F6EE0eE63c81DE06168Fed85d3D51,23.18555
0xAFd4280c5CF73cc503DF84669321901fb77dEE95,21.82538
0xCC7E8adF12B8991FF6c68C65B74dDF173b03427f,20.19109
0x6734a2Db2AEF31AB27ea4F28918484d06C984189,20.00611
0xD04e2747bDA98DEDaF2EEef655c430Ce2960372c,19.91401
0x2CeF35DDad95CD702aC8bc9ef423aBae9155ee1C,19.91373
0x79344F752BA8e2dfeDc5E06d4c78f3530C1cC205,19.84135
0x83dd182De586d13269163493e18B49cbBB731Fab,19.84116
0xC6cdDDC68202dccF0C66837DB0d1C7Df289cE92e,19.8308
0x113B64dE9690e22494dC3C4B6280156e2a25c487,19.83073
0x08E6287abB1eC58CD9D21E45CE49c361906ED541,19.83066
